,sentiment_score,value,total_pnl,avg_pnl_per_trade,trade_count,total_volume,win_rate,active_traders,buy_ratio,profit_factor
sentiment_score,1,0.959434895,-0.096126896,0.037267976,-0.246607145,-0.273529579,0.156100994,-0.274529146,,0.081503109
value,0.959434895,1,-0.082642001,0.037314745,-0.245241405,-0.264371397,0.152485177,-0.277509575,,0.06426912
total_pnl,-0.096126896,-0.082642001,1,0.37605316,0.360551582,0.325758519,0.170086016,0.440197065,,0.398765484
avg_pnl_per_trade,0.037267976,0.037314745,0.37605316,1,0.011898636,0.013027652,0.34121748,0.05179606,,0.696019947
trade_count,-0.246607145,-0.245241405,0.360551582,0.011898636,1,0.720136652,0.095852334,0.797223349,,0.024898354
total_volume,-0.273529579,-0.264371397,0.325758519,0.013027652,0.720136652,1,0.048477129,0.64082418,,-0.038696447
win_rate,0.156100994,0.152485177,0.170086016,0.34121748,0.095852334,0.048477129,1,0.124363896,,0.344223702
active_traders,-0.274529146,-0.277509575,0.440197065,0.05179606,0.797223349,0.64082418,0.124363896,1,,0.085854961
buy_ratio,,,,,,,,,,
profit_factor,0.081503109,0.06426912,0.398765484,0.696019947,0.024898354,-0.038696447,0.344223702,0.085854961,,1
